Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
86,649,88,Jul 7,TOR,,DET,W5-4,CG,5,3,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,.305,.418,.600,1.018,2,1.97,0.408,2.51,,,3B
87,650,89,Jul 8,TOR,,DET,W6-0,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.303,.415,.594,1.009,2,.79,-0.071,-1.38,,,3B
88,651,90,Jul 9,TOR,,DET,L2-3,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.301,.416,.590,1.006,2,1.48,-0.041,-0.01,,,DH
89,652,91,Jul 10,TOR,,DET,W6-1,CG,5,4,1,2,0,0,1,3,1,1,2,0,0,0,0,0,0,0,.304,.418,.598,1.017,2,.50,0.164,2.95,,,DH
90,653,92,Jul 15,TOR,@,OAK,L7-8,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,.303,.418,.594,1.012,2,1.47,-0.089,0.27,,,3B
91,654,93,Jul 16,TOR,@,OAK,L4-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.300,.416,.589,1.005,2,1.23,-0.085,-0.76,,,3B
92,655,94,Jul 17,TOR,@,OAK,W5-3,CG,5,5,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.302,.416,.589,1.005,2,1.77,0.374,1.46,,,3B
93,656,95,Jul 19,TOR,@,ARI,W5-1,CG,5,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.306,.418,.589,1.008,2,.65,0.066,0.91,,,3B
94,657,96,Jul 20,TOR,@,ARI,W10-4,CG,5,4,2,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,.308,.421,.599,1.020,2,.64,0.152,1.67,,,3B
95,658,97,Jul 22,TOR,,SEA,L1-2,CG,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.307,.419,.598,1.017,2,1.47,-0.047,-0.20,,,3B
96,659,98,Jul 23,TOR,,SEA,L5-14,CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.305,.419,.593,1.012,2,.42,0.010,-0.48,,,3B
97,660,99,Jul 24,TOR,,SEA,W2-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.302,.415,.587,1.002,2,.67,-0.071,-1.20,,,DH
98,661,100,Jul 25,TOR,,SDP,W4-2,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.301,.413,.583,.997,2,.67,0.034,0.07,,,3B
99,662,101,Jul 26,TOR,,SDP,W7-6,CG(12),6,6,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.302,.412,.590,1.002,2,2.95,0.124,1.02,,,3B
100,663,102,Jul 27,TOR,,SDP,L4-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.411,.589,1.000,2,.42,0.013,0.04,,,3B
101,664,103,Jul 29,TOR,,BAL,W6-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.407,.583,.990,2,.72,-0.076,-0.89,,,3B
102,665,104,Jul 30,TOR,,BAL,W9-1,GS-8,5,3,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.301,.412,.584,.995,2,.66,0.112,1.14,,,3B
103,666,105,Jul 31,TOR,,BAL,L2-6,CG(12),5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.298,.409,.578,.987,2,1.22,-0.106,-1.33,,,DH 3B
104,667,106,Aug 1,TOR,@,HOU,L1-2,12-GF(14),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.409,.576,.985,9,1.28,-0.032,-0.10,,,PH 3B
105,668,107,Aug 2,TOR,@,HOU,W2-1,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.296,.407,.573,.980,2,.64,-0.054,-0.60,,,3B
