Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
137,700,141,Sep 10,TOR,,BOS,W3-2,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.285,.400,.555,.955,2,1.05,-0.142,-1.91,,,3B
138,701,142,Sep 11,TOR,,BOS,L8-11,CG,5,3,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,.284,.400,.552,.952,2,.76,-0.013,-0.18,,,3B
139,702,146 (3),Sep 15,TOR,@,LAA,W7-2,CG,5,3,2,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,.288,.405,.559,.963,2,.54,0.142,2.01,,,DH
140,703,147,Sep 16,TOR,@,LAA,W5-0,CG,5,2,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,.289,.406,.558,.965,2,.78,0.027,0.20,,,DH
141,704,148,Sep 17,TOR,@,LAA,L1-6,CG,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.287,.405,.554,.959,2,1.12,-0.065,-0.81,,,3B
142,705,149,Sep 18,TOR,@,LAA,L0-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.285,.404,.551,.955,2,1.46,-0.136,-1.49,,,3B
143,706,150,Sep 19,TOR,@,SEA,W3-2,GS-7,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.401,.547,.948,2,.76,-0.078,-1.09,,,3B
144,707,151,Sep 20,TOR,@,SEA,W10-2,GS-8,5,4,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.283,.401,.550,.951,2,.61,-0.039,0.57,,,3B
145,708,152,Sep 21,TOR,@,SEA,L1-2,CG(12),5,5,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.284,.401,.551,.952,2,1.43,0.061,0.46,,,3B
146,709,153,Sep 23,TOR,,NYY,W9-0,GS-9,5,4,2,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,.283,.401,.554,.955,2,.46,0.012,1.12,,,3B
147,710,154,Sep 24,TOR,,NYY,W3-0,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.285,.402,.554,.955,2,1.05,0.033,0.14,,,3B
148,711,155,Sep 25,TOR,,NYY,W4-3,CG,5,3,1,1,1,0,0,0,2,1,1,0,0,0,0,1,1,0,.285,.403,.554,.957,2,1.82,0.079,0.31,,,3B
149,712,156,Sep 26,TOR,,NYY,L5-7,CG,5,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.284,.403,.551,.954,2,1.19,-0.078,-0.85,,,3B
150,713,157,Sep 27,TOR,,BAL,W5-1,CG,4,2,1,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.286,.407,.558,.965,2,.61,0.174,2.24,,,3B
151,714,158,Sep 28,TOR,,BAL,L2-3,CG,4,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.286,.407,.559,.966,2,.80,-0.002,0.14,,,3B
152,715,159,Sep 29,TOR,,BAL,L0-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.285,.406,.556,.962,2,1.02,-0.044,-0.36,,,3B
153,716,160,Sep 30,TOR,@,BOS,L3-5,CG,5,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.286,.406,.555,.962,2,1.67,-0.093,-0.55,,,3B
154,717,161,Oct 1,TOR,@,BOS,W4-3,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.284,.404,.551,.956,2,.82,-0.083,-0.77,,,3B
155,718,162,Oct 2,TOR,@,BOS,W2-1,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.284,.404,.549,.953,2,.91,0.034,0.06,,,3B
