,player_id,game_id,this_half,stat_type,stat_value,actual_play
25486,bettm001,TOR201604080,1_0,AB,1,K
25485,bettm001,TOR201604080,1_0,K,1,K
25484,bettm001,TOR201604080,1_0,PA,1,K
25483,bettm001,TOR201604080,1_0,LOB,0,K
25482,bettm001,TOR201604080,1_0,RLSP,0,K
25481,pedrd001,TOR201604080,1_0,AB,1,K
25480,pedrd001,TOR201604080,1_0,K,1,K
25479,pedrd001,TOR201604080,1_0,PA,1,K
25478,pedrd001,TOR201604080,1_0,LOB,0,K
25477,pedrd001,TOR201604080,1_0,RLSP,0,K
25476,bogax001,TOR201604080,1_0,AB,1,3/G
25475,bogax001,TOR201604080,1_0,PA,1,3/G
25474,bogax001,TOR201604080,1_0,LOB,0,3/G
25473,bogax001,TOR201604080,1_0,RLSP,0,3/G
25472,pillk001,TOR201604080,1_1,AB,1,T9/L
25471,pillk001,TOR201604080,1_1,PA,1,T9/L
25470,pillk001,TOR201604080,1_1,H,1,T9/L
25469,pillk001,TOR201604080,1_1,T,1,T9/L
25468,donaj001,TOR201604080,1_1,AB,1,K
25467,donaj001,TOR201604080,1_1,K,1,K
25466,donaj001,TOR201604080,1_1,PA,1,K
25465,donaj001,TOR201604080,1_1,LOB,1,K
25464,donaj001,TOR201604080,1_1,RLSP,1,K
25463,bautj002,TOR201604080,1_1,PA,1,W
25462,bautj002,TOR201604080,1_1,W,1,W
25461,encae001,TOR201604080,1_1,SF,1,8/L/SF.3-H
25460,encae001,TOR201604080,1_1,PA,1,8/L/SF.3-H
25459,pillk001,TOR201604080,1_1,R,1,8/L/SF.3-H
25458,encae001,TOR201604080,1_1,RBI,1,8/L/SF.3-H
25457,tulot001,TOR201604080,1_1,PA,1,W.1-2
25456,tulot001,TOR201604080,1_1,W,1,W.1-2
25455,saunm001,TOR201604080,1_1,AB,1,K
25454,saunm001,TOR201604080,1_1,K,1,K
25453,saunm001,TOR201604080,1_1,PA,1,K
25452,saunm001,TOR201604080,1_1,LOB,2,K
25451,saunm001,TOR201604080,1_1,RLSP,1,K
25450,ortid001,TOR201604080,2_0,AB,1,K
25449,ortid001,TOR201604080,2_0,K,1,K
25448,ortid001,TOR201604080,2_0,PA,1,K
25447,ortid001,TOR201604080,2_0,LOB,0,K
25446,ortid001,TOR201604080,2_0,RLSP,0,K
25445,ramih003,TOR201604080,2_0,AB,1,S8/G+.BX2(84)
25444,ramih003,TOR201604080,2_0,PA,1,S8/G+.BX2(84)
25443,ramih003,TOR201604080,2_0,H,1,S8/G+.BX2(84)
25442,shawt001,TOR201604080,2_0,AB,1,D9/F
25441,shawt001,TOR201604080,2_0,PA,1,D9/F
25440,shawt001,TOR201604080,2_0,H,1,D9/F
25439,shawt001,TOR201604080,2_0,D,1,D9/F
25438,holtb002,TOR201604080,2_0,AB,1,D8/L.2-H
25437,holtb002,TOR201604080,2_0,PA,1,D8/L.2-H
25436,holtb002,TOR201604080,2_0,H,1,D8/L.2-H
25435,holtb002,TOR201604080,2_0,D,1,D8/L.2-H
25434,shawt001,TOR201604080,2_0,R,1,D8/L.2-H
25433,holtb002,TOR201604080,2_0,RBI,1,D8/L.2-H
25432,hanir001,TOR201604080,2_0,PA,1,W
25431,hanir001,TOR201604080,2_0,W,1,W
25430,bradj001,TOR201604080,2_0,AB,1,43/G
25429,bradj001,TOR201604080,2_0,PA,1,43/G
25428,bradj001,TOR201604080,2_0,LOB,2,43/G
25427,bradj001,TOR201604080,2_0,RLSP,1,43/G
25426,martr004,TOR201604080,2_1,AB,1,K
25425,martr004,TOR201604080,2_1,K,1,K
25424,martr004,TOR201604080,2_1,PA,1,K
25423,martr004,TOR201604080,2_1,LOB,0,K
25422,martr004,TOR201604080,2_1,RLSP,0,K
25421,goinr001,TOR201604080,2_1,AB,1,43/G
25420,goinr001,TOR201604080,2_1,PA,1,43/G
25419,goinr001,TOR201604080,2_1,LOB,0,43/G
25418,goinr001,TOR201604080,2_1,RLSP,0,43/G
25417,barnd001,TOR201604080,2_1,AB,1,S6/G
25416,barnd001,TOR201604080,2_1,PA,1,S6/G
25415,barnd001,TOR201604080,2_1,H,1,S6/G
25414,pillk001,TOR201604080,2_1,AB,1,53/G
25413,pillk001,TOR201604080,2_1,PA,1,53/G
25412,pillk001,TOR201604080,2_1,LOB,1,53/G
25411,pillk001,TOR201604080,2_1,RLSP,0,53/G
25410,bettm001,TOR201604080,3_0,AB,1,53/G
25409,bettm001,TOR201604080,3_0,PA,1,53/G
25408,bettm001,TOR201604080,3_0,LOB,0,53/G
25407,bettm001,TOR201604080,3_0,RLSP,0,53/G
25406,pedrd001,TOR201604080,3_0,AB,1,9/L
25405,pedrd001,TOR201604080,3_0,PA,1,9/L
25404,pedrd001,TOR201604080,3_0,LOB,0,9/L
25403,pedrd001,TOR201604080,3_0,RLSP,0,9/L
25402,bogax001,TOR201604080,3_0,AB,1,S9/L
25401,bogax001,TOR201604080,3_0,PA,1,S9/L
25400,bogax001,TOR201604080,3_0,H,1,S9/L
25399,ortid001,TOR201604080,3_0,AB,1,D8/L.1-H
25398,ortid001,TOR201604080,3_0,PA,1,D8/L.1-H
25397,ortid001,TOR201604080,3_0,H,1,D8/L.1-H
25396,ortid001,TOR201604080,3_0,D,1,D8/L.1-H
25395,bogax001,TOR201604080,3_0,R,1,D8/L.1-H
25394,ortid001,TOR201604080,3_0,RBI,1,D8/L.1-H
25393,ramih003,TOR201604080,3_0,AB,1,43/G
25392,ramih003,TOR201604080,3_0,PA,1,43/G
25391,ramih003,TOR201604080,3_0,LOB,1,43/G
25390,ramih003,TOR201604080,3_0,RLSP,1,43/G
25389,donaj001,TOR201604080,3_1,AB,1,63/G
25388,donaj001,TOR201604080,3_1,PA,1,63/G
25387,donaj001,TOR201604080,3_1,LOB,0,63/G
25386,donaj001,TOR201604080,3_1,RLSP,0,63/G
25385,bautj002,TOR201604080,3_1,AB,1,K
25384,bautj002,TOR201604080,3_1,K,1,K
25383,bautj002,TOR201604080,3_1,PA,1,K
25382,bautj002,TOR201604080,3_1,LOB,0,K
25381,bautj002,TOR201604080,3_1,RLSP,0,K
25380,encae001,TOR201604080,3_1,PA,1,W
25379,encae001,TOR201604080,3_1,W,1,W
25378,tulot001,TOR201604080,3_1,AB,1,64(1)/FO/G
25377,tulot001,TOR201604080,3_1,PA,1,64(1)/FO/G
25376,tulot001,TOR201604080,3_1,LOB,1,64(1)/FO/G
25375,tulot001,TOR201604080,3_1,RLSP,0,64(1)/FO/G
25374,shawt001,TOR201604080,4_0,AB,1,8/F
25373,shawt001,TOR201604080,4_0,PA,1,8/F
25372,shawt001,TOR201604080,4_0,LOB,0,8/F
25371,shawt001,TOR201604080,4_0,RLSP,0,8/F
25370,holtb002,TOR201604080,4_0,AB,1,63/G
25369,holtb002,TOR201604080,4_0,PA,1,63/G
25368,holtb002,TOR201604080,4_0,LOB,0,63/G
25367,holtb002,TOR201604080,4_0,RLSP,0,63/G
25366,hanir001,TOR201604080,4_0,AB,1,9/F
25365,hanir001,TOR201604080,4_0,PA,1,9/F
25364,hanir001,TOR201604080,4_0,LOB,0,9/F
25363,hanir001,TOR201604080,4_0,RLSP,0,9/F
25362,saunm001,TOR201604080,4_1,AB,1,S9/L
25361,saunm001,TOR201604080,4_1,PA,1,S9/L
25360,saunm001,TOR201604080,4_1,H,1,S9/L
25359,martr004,TOR201604080,4_1,AB,1,S13/G+.1-2
25358,martr004,TOR201604080,4_1,PA,1,S13/G+.1-2
25357,martr004,TOR201604080,4_1,H,1,S13/G+.1-2
25356,goinr001,TOR201604080,4_1,AB,1,S8/L.2-3;1-2
25355,goinr001,TOR201604080,4_1,PA,1,S8/L.2-3;1-2
25354,goinr001,TOR201604080,4_1,H,1,S8/L.2-3;1-2
25353,barnd001,TOR201604080,4_1,AB,1,S9/G+.3-H;2-3;1-2
25352,barnd001,TOR201604080,4_1,PA,1,S9/G+.3-H;2-3;1-2
25351,barnd001,TOR201604080,4_1,H,1,S9/G+.3-H;2-3;1-2
25350,saunm001,TOR201604080,4_1,R,1,S9/G+.3-H;2-3;1-2
25349,barnd001,TOR201604080,4_1,RBI,1,S9/G+.3-H;2-3;1-2
25348,pillk001,TOR201604080,4_1,PA,1,HP.3-H;2-3;1-2
25347,pillk001,TOR201604080,4_1,HBP,1,HP.3-H;2-3;1-2
25346,martr004,TOR201604080,4_1,R,1,HP.3-H;2-3;1-2
25345,pillk001,TOR201604080,4_1,RBI,1,HP.3-H;2-3;1-2
25344,donaj001,TOR201604080,4_1,AB,1,HR/7/F.3-H;2-H;1-H
25343,donaj001,TOR201604080,4_1,PA,1,HR/7/F.3-H;2-H;1-H
25342,donaj001,TOR201604080,4_1,H,1,HR/7/F.3-H;2-H;1-H
25341,donaj001,TOR201604080,4_1,HR,1,HR/7/F.3-H;2-H;1-H
25340,donaj001,TOR201604080,4_1,R,1,HR/7/F.3-H;2-H;1-H
25339,donaj001,TOR201604080,4_1,RBI,1,HR/7/F.3-H;2-H;1-H
25338,goinr001,TOR201604080,4_1,R,1,HR/7/F.3-H;2-H;1-H
25337,donaj001,TOR201604080,4_1,RBI,1,HR/7/F.3-H;2-H;1-H
25336,barnd001,TOR201604080,4_1,R,1,HR/7/F.3-H;2-H;1-H
25335,donaj001,TOR201604080,4_1,RBI,1,HR/7/F.3-H;2-H;1-H
25334,pillk001,TOR201604080,4_1,R,1,HR/7/F.3-H;2-H;1-H
25333,donaj001,TOR201604080,4_1,RBI,1,HR/7/F.3-H;2-H;1-H
25332,bautj002,TOR201604080,4_1,AB,1,K
25331,bautj002,TOR201604080,4_1,K,1,K
25330,bautj002,TOR201604080,4_1,PA,1,K
25329,bautj002,TOR201604080,4_1,LOB,0,K
25328,bautj002,TOR201604080,4_1,RLSP,0,K
25327,encae001,TOR201604080,4_1,AB,1,S8/L
25326,encae001,TOR201604080,4_1,PA,1,S8/L
25325,encae001,TOR201604080,4_1,H,1,S8/L
25324,tulot001,TOR201604080,4_1,AB,1,K
25323,tulot001,TOR201604080,4_1,K,1,K
25322,tulot001,TOR201604080,4_1,PA,1,K
25321,tulot001,TOR201604080,4_1,LOB,1,K
25320,tulot001,TOR201604080,4_1,RLSP,0,K
25319,saunm001,TOR201604080,4_1,AB,1,S4/G.1-2
25318,saunm001,TOR201604080,4_1,PA,1,S4/G.1-2
25317,saunm001,TOR201604080,4_1,H,1,S4/G.1-2
25316,martr004,TOR201604080,4_1,AB,1,K
25315,martr004,TOR201604080,4_1,K,1,K
25314,martr004,TOR201604080,4_1,PA,1,K
25313,martr004,TOR201604080,4_1,LOB,2,K
25312,martr004,TOR201604080,4_1,RLSP,1,K
25311,bradj001,TOR201604080,5_0,AB,1,63/G
25310,bradj001,TOR201604080,5_0,PA,1,63/G
25309,bradj001,TOR201604080,5_0,LOB,0,63/G
25308,bradj001,TOR201604080,5_0,RLSP,0,63/G
25307,bettm001,TOR201604080,5_0,AB,1,53/G
25306,bettm001,TOR201604080,5_0,PA,1,53/G
25305,bettm001,TOR201604080,5_0,LOB,0,53/G
25304,bettm001,TOR201604080,5_0,RLSP,0,53/G
25303,pedrd001,TOR201604080,5_0,AB,1,K
25302,pedrd001,TOR201604080,5_0,K,1,K
25301,pedrd001,TOR201604080,5_0,PA,1,K
25300,pedrd001,TOR201604080,5_0,LOB,0,K
25299,pedrd001,TOR201604080,5_0,RLSP,0,K
25298,goinr001,TOR201604080,5_1,AB,1,K
25297,goinr001,TOR201604080,5_1,K,1,K
25296,goinr001,TOR201604080,5_1,PA,1,K
25295,goinr001,TOR201604080,5_1,LOB,0,K
25294,goinr001,TOR201604080,5_1,RLSP,0,K
25293,barnd001,TOR201604080,5_1,PA,1,W
25292,barnd001,TOR201604080,5_1,W,1,W
25291,pillk001,TOR201604080,5_1,AB,1,3/P3F
25290,pillk001,TOR201604080,5_1,PA,1,3/P3F
25289,pillk001,TOR201604080,5_1,LOB,1,3/P3F
25288,pillk001,TOR201604080,5_1,RLSP,0,3/P3F
25287,barnd001,TOR201604080,5_1,SB,1,SB2
25286,donaj001,TOR201604080,5_1,AB,1,53/G
25285,donaj001,TOR201604080,5_1,PA,1,53/G
25284,donaj001,TOR201604080,5_1,LOB,1,53/G
25283,donaj001,TOR201604080,5_1,RLSP,1,53/G
25282,bogax001,TOR201604080,6_0,AB,1,D7/L
25281,bogax001,TOR201604080,6_0,PA,1,D7/L
25280,bogax001,TOR201604080,6_0,H,1,D7/L
25279,bogax001,TOR201604080,6_0,D,1,D7/L
25278,ortid001,TOR201604080,6_0,PA,1,W
25277,ortid001,TOR201604080,6_0,W,1,W
25276,ramih003,TOR201604080,6_0,AB,1,53/G.2-3;1-2
25275,ramih003,TOR201604080,6_0,PA,1,53/G.2-3;1-2
25274,ramih003,TOR201604080,6_0,LOB,2,53/G.2-3;1-2
25273,ramih003,TOR201604080,6_0,RLSP,1,53/G.2-3;1-2
25272,shawt001,TOR201604080,6_0,PA,1,W
25271,shawt001,TOR201604080,6_0,W,1,W
25270,holtb002,TOR201604080,6_0,AB,1,HR/9/L.3-H;2-H;1-H
25269,holtb002,TOR201604080,6_0,PA,1,HR/9/L.3-H;2-H;1-H
25268,holtb002,TOR201604080,6_0,H,1,HR/9/L.3-H;2-H;1-H
25267,holtb002,TOR201604080,6_0,HR,1,HR/9/L.3-H;2-H;1-H
25266,holtb002,TOR201604080,6_0,R,1,HR/9/L.3-H;2-H;1-H
25265,holtb002,TOR201604080,6_0,RBI,1,HR/9/L.3-H;2-H;1-H
25264,bogax001,TOR201604080,6_0,R,1,HR/9/L.3-H;2-H;1-H
25263,holtb002,TOR201604080,6_0,RBI,1,HR/9/L.3-H;2-H;1-H
25262,ortid001,TOR201604080,6_0,R,1,HR/9/L.3-H;2-H;1-H
25261,holtb002,TOR201604080,6_0,RBI,1,HR/9/L.3-H;2-H;1-H
25260,shawt001,TOR201604080,6_0,R,1,HR/9/L.3-H;2-H;1-H
25259,holtb002,TOR201604080,6_0,RBI,1,HR/9/L.3-H;2-H;1-H
25258,hanir001,TOR201604080,6_0,AB,1,9/F
25257,hanir001,TOR201604080,6_0,PA,1,9/F
25256,hanir001,TOR201604080,6_0,LOB,0,9/F
25255,hanir001,TOR201604080,6_0,RLSP,0,9/F
25254,bradj001,TOR201604080,6_0,AB,1,K
25253,bradj001,TOR201604080,6_0,K,1,K
25252,bradj001,TOR201604080,6_0,PA,1,K
25251,bradj001,TOR201604080,6_0,LOB,0,K
25250,bradj001,TOR201604080,6_0,RLSP,0,K
25249,bautj002,TOR201604080,6_1,AB,1,6/L
25248,bautj002,TOR201604080,6_1,PA,1,6/L
25247,bautj002,TOR201604080,6_1,LOB,0,6/L
25246,bautj002,TOR201604080,6_1,RLSP,0,6/L
25245,encae001,TOR201604080,6_1,AB,1,7/F
25244,encae001,TOR201604080,6_1,PA,1,7/F
25243,encae001,TOR201604080,6_1,LOB,0,7/F
25242,encae001,TOR201604080,6_1,RLSP,0,7/F
25241,tulot001,TOR201604080,6_1,AB,1,53/G
25240,tulot001,TOR201604080,6_1,PA,1,53/G
25239,tulot001,TOR201604080,6_1,LOB,0,53/G
25238,tulot001,TOR201604080,6_1,RLSP,0,53/G
25237,bettm001,TOR201604080,7_0,AB,1,9/F
25236,bettm001,TOR201604080,7_0,PA,1,9/F
25235,bettm001,TOR201604080,7_0,LOB,0,9/F
25234,bettm001,TOR201604080,7_0,RLSP,0,9/F
25233,pedrd001,TOR201604080,7_0,AB,1,S8/L
25232,pedrd001,TOR201604080,7_0,PA,1,S8/L
25231,pedrd001,TOR201604080,7_0,H,1,S8/L
25230,bogax001,TOR201604080,7_0,AB,1,S7/L.1-2
25229,bogax001,TOR201604080,7_0,PA,1,S7/L.1-2
25228,bogax001,TOR201604080,7_0,H,1,S7/L.1-2
25227,ortid001,TOR201604080,7_0,AB,1,S9/L.2-H;1-3
25226,ortid001,TOR201604080,7_0,PA,1,S9/L.2-H;1-3
25225,ortid001,TOR201604080,7_0,H,1,S9/L.2-H;1-3
25224,pedrd001,TOR201604080,7_0,R,1,S9/L.2-H;1-3
25223,ortid001,TOR201604080,7_0,RBI,1,S9/L.2-H;1-3
25222,ramih003,TOR201604080,7_0,AB,1,S7/G.3-H;1-2
25221,ramih003,TOR201604080,7_0,PA,1,S7/G.3-H;1-2
25220,ramih003,TOR201604080,7_0,H,1,S7/G.3-H;1-2
25219,bogax001,TOR201604080,7_0,R,1,S7/G.3-H;1-2
25218,ramih003,TOR201604080,7_0,RBI,1,S7/G.3-H;1-2
25217,younc004,TOR201604080,7_0,AB,1,K
25216,younc004,TOR201604080,7_0,K,1,K
25215,younc004,TOR201604080,7_0,PA,1,K
25214,younc004,TOR201604080,7_0,LOB,2,K
25213,younc004,TOR201604080,7_0,RLSP,1,K
25212,holtb002,TOR201604080,7_0,AB,1,E4/G.2-3;1-2
25211,holtb002,TOR201604080,7_0,PA,1,E4/G.2-3;1-2
25210,hanir001,TOR201604080,7_0,AB,1,4/P
25209,hanir001,TOR201604080,7_0,PA,1,4/P
25208,hanir001,TOR201604080,7_0,LOB,3,4/P
25207,hanir001,TOR201604080,7_0,RLSP,2,4/P
25206,saunm001,TOR201604080,7_1,AB,1,7/F7LF
25205,saunm001,TOR201604080,7_1,PA,1,7/F7LF
25204,saunm001,TOR201604080,7_1,LOB,0,7/F7LF
25203,saunm001,TOR201604080,7_1,RLSP,0,7/F7LF
25202,martr004,TOR201604080,7_1,AB,1,K
25201,martr004,TOR201604080,7_1,K,1,K
25200,martr004,TOR201604080,7_1,PA,1,K
25199,martr004,TOR201604080,7_1,LOB,0,K
25198,martr004,TOR201604080,7_1,RLSP,0,K
25197,goinr001,TOR201604080,7_1,AB,1,43/G+
25196,goinr001,TOR201604080,7_1,PA,1,43/G+
25195,goinr001,TOR201604080,7_1,LOB,0,43/G+
25194,goinr001,TOR201604080,7_1,RLSP,0,43/G+
25193,bradj001,TOR201604080,8_0,AB,1,K23
25192,bradj001,TOR201604080,8_0,K,1,K23
25191,bradj001,TOR201604080,8_0,PA,1,K23
25190,bradj001,TOR201604080,8_0,LOB,0,K23
25189,bradj001,TOR201604080,8_0,RLSP,0,K23
25188,bettm001,TOR201604080,8_0,AB,1,2/P2F
25187,bettm001,TOR201604080,8_0,PA,1,2/P2F
25186,bettm001,TOR201604080,8_0,LOB,0,2/P2F
25185,bettm001,TOR201604080,8_0,RLSP,0,2/P2F
25184,pedrd001,TOR201604080,8_0,AB,1,43/G
25183,pedrd001,TOR201604080,8_0,PA,1,43/G
25182,pedrd001,TOR201604080,8_0,LOB,0,43/G
25181,pedrd001,TOR201604080,8_0,RLSP,0,43/G
25180,smoaj001,TOR201604080,8_1,PA,1,W
25179,smoaj001,TOR201604080,8_1,W,1,W
25178,pillk001,TOR201604080,8_1,SH,1,13/BG/SH.1-2
25177,pillk001,TOR201604080,8_1,PA,1,13/BG/SH.1-2
25176,donaj001,TOR201604080,8_1,AB,1,53/G
25175,donaj001,TOR201604080,8_1,PA,1,53/G
25174,donaj001,TOR201604080,8_1,LOB,1,53/G
25173,donaj001,TOR201604080,8_1,RLSP,1,53/G
25172,bautj002,TOR201604080,8_1,AB,1,13/G
25171,bautj002,TOR201604080,8_1,PA,1,13/G
25170,bautj002,TOR201604080,8_1,LOB,1,13/G
25169,bautj002,TOR201604080,8_1,RLSP,1,13/G
25168,bogax001,TOR201604080,9_0,AB,1,53/G
25167,bogax001,TOR201604080,9_0,PA,1,53/G
25166,bogax001,TOR201604080,9_0,LOB,0,53/G
25165,bogax001,TOR201604080,9_0,RLSP,0,53/G
25164,ortid001,TOR201604080,9_0,AB,1,K
25163,ortid001,TOR201604080,9_0,K,1,K
25162,ortid001,TOR201604080,9_0,PA,1,K
25161,ortid001,TOR201604080,9_0,LOB,0,K
25160,ortid001,TOR201604080,9_0,RLSP,0,K
25159,ramih003,TOR201604080,9_0,AB,1,63/G
25158,ramih003,TOR201604080,9_0,PA,1,63/G
25157,ramih003,TOR201604080,9_0,LOB,0,63/G
25156,ramih003,TOR201604080,9_0,RLSP,0,63/G
25155,encae001,TOR201604080,9_1,AB,1,9/F
25154,encae001,TOR201604080,9_1,PA,1,9/F
25153,encae001,TOR201604080,9_1,LOB,0,9/F
25152,encae001,TOR201604080,9_1,RLSP,0,9/F
25151,tulot001,TOR201604080,9_1,AB,1,K
25150,tulot001,TOR201604080,9_1,K,1,K
25149,tulot001,TOR201604080,9_1,PA,1,K
25148,tulot001,TOR201604080,9_1,LOB,0,K
25147,tulot001,TOR201604080,9_1,RLSP,0,K
25146,saunm001,TOR201604080,9_1,AB,1,7/F
25145,saunm001,TOR201604080,9_1,PA,1,7/F
25144,saunm001,TOR201604080,9_1,LOB,0,7/F
25143,saunm001,TOR201604080,9_1,RLSP,0,7/F
25142,bettm001,TOR201604090,1_0,AB,1,63/G
25141,bettm001,TOR201604090,1_0,PA,1,63/G
25140,bettm001,TOR201604090,1_0,LOB,0,63/G
25139,bettm001,TOR201604090,1_0,RLSP,0,63/G
25138,pedrd001,TOR201604090,1_0,AB,1,S9/L
25137,pedrd001,TOR201604090,1_0,PA,1,S9/L
25136,pedrd001,TOR201604090,1_0,H,1,S9/L
25135,bogax001,TOR201604090,1_0,AB,1,K
25134,bogax001,TOR201604090,1_0,K,1,K
25133,bogax001,TOR201604090,1_0,PA,1,K
25132,bogax001,TOR201604090,1_0,LOB,1,K
25131,bogax001,TOR201604090,1_0,RLSP,0,K
25130,shawt001,TOR201604090,1_0,AB,1,K
25129,shawt001,TOR201604090,1_0,K,1,K
25128,shawt001,TOR201604090,1_0,PA,1,K
25127,shawt001,TOR201604090,1_0,LOB,1,K
25126,shawt001,TOR201604090,1_0,RLSP,0,K
25125,pillk001,TOR201604090,1_1,AB,1,K
25124,pillk001,TOR201604090,1_1,K,1,K
25123,pillk001,TOR201604090,1_1,PA,1,K
25122,pillk001,TOR201604090,1_1,LOB,0,K
25121,pillk001,TOR201604090,1_1,RLSP,0,K
25120,donaj001,TOR201604090,1_1,AB,1,S9/L
25119,donaj001,TOR201604090,1_1,PA,1,S9/L
25118,donaj001,TOR201604090,1_1,H,1,S9/L
25117,bautj002,TOR201604090,1_1,AB,1,HR/7/L.1-H
25116,bautj002,TOR201604090,1_1,PA,1,HR/7/L.1-H
25115,bautj002,TOR201604090,1_1,H,1,HR/7/L.1-H
25114,bautj002,TOR201604090,1_1,HR,1,HR/7/L.1-H
25113,bautj002,TOR201604090,1_1,R,1,HR/7/L.1-H
25112,bautj002,TOR201604090,1_1,RBI,1,HR/7/L.1-H
25111,donaj001,TOR201604090,1_1,R,1,HR/7/L.1-H
25110,bautj002,TOR201604090,1_1,RBI,1,HR/7/L.1-H
25109,encae001,TOR201604090,1_1,AB,1,S9/L
25108,encae001,TOR201604090,1_1,PA,1,S9/L
25107,encae001,TOR201604090,1_1,H,1,S9/L
25106,tulot001,TOR201604090,1_1,AB,1,8/L+
25105,tulot001,TOR201604090,1_1,PA,1,8/L+
25104,tulot001,TOR201604090,1_1,LOB,1,8/L+
25103,tulot001,TOR201604090,1_1,RLSP,0,8/L+
25102,carre001,TOR201604090,1_1,AB,1,K
25101,carre001,TOR201604090,1_1,K,1,K
25100,carre001,TOR201604090,1_1,PA,1,K
25099,carre001,TOR201604090,1_1,LOB,1,K
25098,carre001,TOR201604090,1_1,RLSP,0,K
25097,ramih003,TOR201604090,2_0,AB,1,4/P
25096,ramih003,TOR201604090,2_0,PA,1,4/P
25095,ramih003,TOR201604090,2_0,LOB,0,4/P
25094,ramih003,TOR201604090,2_0,RLSP,0,4/P
25093,sandp001,TOR201604090,2_0,AB,1,K
25092,sandp001,TOR201604090,2_0,K,1,K
25091,sandp001,TOR201604090,2_0,PA,1,K
25090,sandp001,TOR201604090,2_0,LOB,0,K
25089,sandp001,TOR201604090,2_0,RLSP,0,K
25088,holtb002,TOR201604090,2_0,AB,1,9/L
25087,holtb002,TOR201604090,2_0,PA,1,9/L
25086,holtb002,TOR201604090,2_0,LOB,0,9/L
25085,holtb002,TOR201604090,2_0,RLSP,0,9/L
25084,goinr001,TOR201604090,2_1,AB,1,13/G+
25083,goinr001,TOR201604090,2_1,PA,1,13/G+
25082,goinr001,TOR201604090,2_1,LOB,0,13/G+
25081,goinr001,TOR201604090,2_1,RLSP,0,13/G+
25080,barnd001,TOR201604090,2_1,AB,1,E5/TH/G
25079,barnd001,TOR201604090,2_1,PA,1,E5/TH/G
25078,"15    barnd001
Name: 1B_before, dtype: object",TOR201604090,2_1,SB,1,K+SB2
25077,tholj001,TOR201604090,2_1,AB,1,K+SB2
25076,tholj001,TOR201604090,2_1,K,1,K+SB2
25075,tholj001,TOR201604090,2_1,PA,1,K+SB2
25074,tholj001,TOR201604090,2_1,LOB,1,K+SB2
25073,tholj001,TOR201604090,2_1,RLSP,0,K+SB2
25072,pillk001,TOR201604090,2_1,AB,1,K
25071,pillk001,TOR201604090,2_1,K,1,K
25070,pillk001,TOR201604090,2_1,PA,1,K
25069,pillk001,TOR201604090,2_1,LOB,1,K
25068,pillk001,TOR201604090,2_1,RLSP,1,K
25067,castr004,TOR201604090,3_0,AB,1,S7/G+
25066,castr004,TOR201604090,3_0,PA,1,S7/G+
25065,castr004,TOR201604090,3_0,H,1,S7/G+
25064,swihb001,TOR201604090,3_0,PA,1,W.1-2
25063,swihb001,TOR201604090,3_0,W,1,W.1-2
25062,bettm001,TOR201604090,3_0,AB,1,K
25061,bettm001,TOR201604090,3_0,K,1,K
25060,bettm001,TOR201604090,3_0,PA,1,K
25059,bettm001,TOR201604090,3_0,LOB,2,K
25058,bettm001,TOR201604090,3_0,RLSP,2,K
25057,pedrd001,TOR201604090,3_0,AB,1,43/G.3-H;2-3
25056,pedrd001,TOR201604090,3_0,PA,1,43/G.3-H;2-3
25055,pedrd001,TOR201604090,3_0,LOB,2,43/G.3-H;2-3
25054,pedrd001,TOR201604090,3_0,RLSP,2,43/G.3-H;2-3
25053,castr004,TOR201604090,3_0,R,1,43/G.3-H;2-3
25052,pedrd001,TOR201604090,3_0,RBI,1,43/G.3-H;2-3
25051,bogax001,TOR201604090,3_0,AB,1,DGR/9/L.3-H
25050,bogax001,TOR201604090,3_0,PA,1,DGR/9/L.3-H
25049,bogax001,TOR201604090,3_0,H,1,DGR/9/L.3-H
25048,bogax001,TOR201604090,3_0,D,1,DGR/9/L.3-H
25047,swihb001,TOR201604090,3_0,R,1,DGR/9/L.3-H
25046,bogax001,TOR201604090,3_0,RBI,1,DGR/9/L.3-H
25045,shawt001,TOR201604090,3_0,AB,1,DGR/7/L.3-H
25044,shawt001,TOR201604090,3_0,PA,1,DGR/7/L.3-H
25043,shawt001,TOR201604090,3_0,H,1,DGR/7/L.3-H
25042,shawt001,TOR201604090,3_0,D,1,DGR/7/L.3-H
25041,bogax001,TOR201604090,3_0,R,1,DGR/7/L.3-H
25040,shawt001,TOR201604090,3_0,RBI,1,DGR/7/L.3-H
25039,ramih003,TOR201604090,3_0,AB,1,8/F
25038,ramih003,TOR201604090,3_0,PA,1,8/F
25037,ramih003,TOR201604090,3_0,LOB,1,8/F
25036,ramih003,TOR201604090,3_0,RLSP,1,8/F
25035,donaj001,TOR201604090,3_1,AB,1,D7/L
25034,donaj001,TOR201604090,3_1,PA,1,D7/L
25033,donaj001,TOR201604090,3_1,H,1,D7/L
25032,donaj001,TOR201604090,3_1,D,1,D7/L
25031,bautj002,TOR201604090,3_1,AB,1,HR/78/L.2-H
25030,bautj002,TOR201604090,3_1,PA,1,HR/78/L.2-H
25029,bautj002,TOR201604090,3_1,H,1,HR/78/L.2-H
25028,bautj002,TOR201604090,3_1,HR,1,HR/78/L.2-H
25027,bautj002,TOR201604090,3_1,R,1,HR/78/L.2-H
25026,bautj002,TOR201604090,3_1,RBI,1,HR/78/L.2-H
